SID,SHD,name,num,method
46.0,30.0,syntren,0,cam
143.0,32.0,syntren,1,cam
219.0,40.0,syntren,2,cam
109.0,39.0,syntren,3,cam
100.0,34.0,syntren,4,cam
82.0,35.0,syntren,5,cam
68.0,30.0,syntren,6,cam
214.0,34.0,syntren,7,cam
132.0,36.0,syntren,8,cam
116.0,33.0,syntren,9,cam
105.0,33.0,syntren,0,pc
128.0,30.0,syntren,4,pc
146.0,28.0,syntren,8,pc
137.0,38.0,syntren,3,pc
163.0,33.0,syntren,9,pc
104.0,32.0,syntren,6,pc
223.0,30.0,syntren,1,pc
106.0,31.0,syntren,5,pc
266.0,30.0,syntren,7,pc
232.0,35.0,syntren,2,pc
51.0,11.0,sachs,0,pc
51.0,11.0,sachs,0,pc
43.0,10.0,sachs,0,pc
36.0,9.0,sachs,0,pc
51.0,11.0,sachs,0,pc
36.0,9.0,sachs,0,cam
51.0,11.0,sachs,0,cam
43.0,10.0,sachs,0,cam
51.0,11.0,sachs,0,cam
51.0,11.0,sachs,0,cam
